"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
medhx_etio,medical_history,,radio,"Suspected Seizure type","0, Generalized | 1, Focal / Multifocal | 2, Both (Focal and Generalized) | 3, Psychogenic Non-Epileptic Events/ FND | 4, Physiological Non-Epileptic Events/Other {medhx_etio_other} | 5, Combined/ Multiple (eg FND and focal epilepsy) | 999, Unknown","Multiple selections are allowed",,,,,,,,,,," @NONEOFTHEABOVE = ""999"""
medhx_etio_other,medical_history,,text,"Physiologic Non-Epileptic Events - Other (Specify)",,,,,,,"[medhx_etio] = '4'",,,,,," @PLACEHOLDER=""Please Specify"""
medhx_etio_mult,medical_history,,text,"If Combined or Multiple, please describe",,,,,,,"[medhx_etio] = '5'",,,,,,
medhx_etio_focal,medical_history,,checkbox,"Etiology of Seizure","1, Mesial-temporal sclerosis | 2, Prior TBI | 3, Post-stroke/ Vascular injury | 4, Post-infectious | 5, Tumor | 6, Vascular lesion | 7, Cortical Dysplasia, Migrational Abnormality | 8, Autoimmune/ Inflammatory | 9, Genetic | 10, Other Lesion {medhx_etio_focal_other} | 999, Unknown","Multiple selections are allowed",,,,,"[medhx_etio] = '1' or [medhx_etio] = '2'",,,,,,
medhx_etio_focal_other,medical_history,,text,"Etiology of Seizure - Other",,,,,,,,,,,,,
medhx_szsyndrome,medical_history,,dropdown,"Does patient have a confirmed epilepsy syndrome?","1, Yes | 2, No | 999, Unknown",,,,,,,,,,,,
medhx_szsyndrome_type,medical_history,,dropdown,"If yes, please select epilepsy syndrome","1, Mesial temporal lobe epilepsy with hippocampal sclerosis (MTLE-HS) | 2, Lennox Gastaut syndrome (LGS) | 3, CDKL5-DEE | 4, Childhood absence epilepsy (CAE) | 5, Childhood occipital visual epilepsy (COVE) | 6, Developmental epileptic encephalopathy with spike-and-wave activation in sleep (DEE-SWAS) | 7, Dravet Syndrome (DS) | 8, Early infantile developmental and epileptic encephalopathy (EIDEE) | 9, Epilepsy in infancy with migrating focal seizures (EIMFS) | 10, Epilepsy with auditory features (EAF) | 11, Epilepsy with eyelid myoclonia (EEM) | 12, Juvenile myoclonic epilepsy (JME) | 999, Other",,,,,,"[medhx_szsyndrome] = '1'",,,,,,
medhx_szsyndrome_other,medical_history,,text,"If other seizure syndrome, please describe",,,,,,,"[medhx_szsyndrome_type] = '999'",,,,,,
medhx_prior_episgy,medical_history,,dropdown,"Did patient undergo previous surgery for epilepsy?","1, Yes | 2, No | 3, Unknown","Including neuromodulation",,,,,,,,,,,
medhx_priorepisgy_type,medical_history,,checkbox,"If Yes, please select all that apply","1, Lesionectomy | 2, Anterior temporal lobectomy | 3, Selective Amygdalohippocampectomy | 4, Neocortical resection | 5, Multi-lobar resection | 6, Hemispherotomy/ -ectomy | 7, Open corpus callosotomy | 8, Laser corpus callosotomy | 9, Laser ablation (LITT) | 10, Radiofrequency ablation | 11, Multiple subpial transections | 12, Vagus nerve stimulator | 13, Deep brain stimulator | 14, Responsive neurostimulator | 999, Other","Multiple selections are allowed",,,,,"[medhx_prior_episgy] = '1'",,,,,,
medhx_neurohx,medical_history,,checkbox,"Neurological Co-morbidities","1, Ischemic Stroke | 2, Intra-cranial Hemorrhage | 3, Traumatic Brain Injury | 4, Dementia/Mild Cognitive Injury | 5, Headaches | 6, Idiopathic Parkinson's Disease | 7, Tremors and Other non-PD Movement Disorders | 8, Other {medhx_neurohx_other} | 0, None of the above | 999, Unknown","Multiple selections are allowed",,,,,,,,,,," @NONEOFTHEABOVE=0"
medhx_neurohx_other,medical_history,,text,"Neurology Co-morbidity - Other",,,,,,,,,,,,," @PLACEHOLDER=""Please specify"""
medhx_psych,medical_history,,checkbox,"Psychiatric Co-Morbidities","1, Depression | 2, Anxiety | 3, Bipolar Disorder | 4, PTSD | 5, Schizophrenia or other psychotic disorder | 6, Alcohol/Substance Use Disorder | 7, Other {medhx_psych_other} | 0, None of the above | 999, Unknown","Multiple selections are allowed",,,,,,,,,,," @NONEOFTHEABOVE=0"
medhx_psych_other,medical_history,,text,"Psych Co-morbidity - Other",,,,,,,,,,,,," @PLACEHOLDER=""Please specify"""
medhx_si,medical_history,,yesno,"Known history of Suicidal Ideation/Suicide Attempt?",,,,,,,,,,,,,
medhx_carepartner,medical_history,,dropdown,"Does this patient have actively involved care partner?","1, Yes | 2, No | 0, Unknown",,,,,,,,,,,,
medhx_careprt_who,medical_history,,dropdown,"Who is patient's actively involved care partner?","1, Spouse | 2, Parent | 3, Sibling | 4, Child/ children | 5, Significant other/ life partner | 6, Other family | 7, Legal guardian | 8, Friend | 99, Other/ not listed",,,,,,"[medhx_carepartner] = '1'",,,,,,
medhx_careprt_other,medical_history,,text,"If other or not listed, please describe relationship of care partner to patient",,,,,,,"[medhx_careprt_who] = '99'",,,,,,
demo_adls,medical_history,,radio,"Can patient complete own ADLs","1, Yes without assistance | 2, Yes with assistance | 3, No | 4, Unknown",,,,,,,,,,,,
medhx_osss_yn,medical_history,,yesno,"Was Oslo Social Support Scale (OSSS-3) administered?",,,,,,,,,,,,,
demo_socialsupport,medical_history,,radio,"What is patient's degree of social support","1, Good (OSSS 12-14) | 2, Moderate (OSSS 9-11) | 3, Poor (OSSS 3-8) | 4, Unclear/ Unknown","Oslo Social Support Scale Result",,,,,"[medhx_osss_yn] = '1'",,,,,,
medhx_driving,medical_history,,dropdown,"Is this patient currently driving?","1, Yes | 2, No | 3, Unclear/ unknown",,,,,,,,,,,,
medhx_shoulddrive,medical_history,,dropdown,"Is this patient cleared by neurologist or DMV to drive?","1, Yes | 2, No | 3, Unclear/ Unknown",,,,,,,,,,,,
medhx_sgy_cand_yn,medical_history,,radio,"Is this patient a surgical candidate?","1, Yes | 2, No | 3, Unclear",,,,,,,,,,,,
medhx_date_sgycand,medical_history,,text,"What date was pt determined to be a surgical candidate?",,"Use Phase 1 EMU discharge date",date_mdy,,,y,"[medhx_sgy_cand_yn] = '1'",,,,,,
emu_admission_referraldate,emu_admission,,text,"Date Referred for EMU",,,date_mdy,,,y,,,,,,,
emu_admission_purpose,emu_admission,,checkbox,"Purpose of Admission","0, Diagnostic Evaluation/ Characterization | 1, Phase 1 | 2, Medication cross-titration | 3, Phase 2 | 4, SPECT | 5, Urgent Add-On","Multiple selections acceptable",,,,,,y,,,,,
emu_referring_provider,emu_admission,,dropdown,"Referring Provider","1, Dr. Angela Wabulya | 2, Dr. Lynn Liu | 3, Dr. Atif Sheikh | 4, Dr. Brandon Waters | 5, Dr. Suzette LaRoche | 6, Dr. Haewon Shin | 7, Dr. Brad Vaughn | 8, Shabina Sheikh | 9, Linh Ngo | 10, Dr. Geetika Bajpai | 0, Other",,,,,,,y,LH,,,,
emu_refprovider_other,emu_admission,,text,"If other, who was referring provider?",,,,,,,[emu_referring_provider]=0,,LH,,,,
emu_clinic_refer,emu_admission,,dropdown,"Clinic / Place of Referral","1, Meadowmont/ Finley | 2, Panther Creek | 3, Pardee | 4, Outside Clinic",,,,,,,,,,,,
emu_admit_yn,emu_admission,,yesno,"Was patient admitted to EMU?",,"EMU admission on scheduled date or subsequent date?",,,,,,y,,,,,
emu_admit_no,emu_admission,,dropdown,"If no, why was patient never admitted to EMU?","1, Rescheduled with date pending | 2, COVID or other illness | 3, Change in provider recommendations | 4, Financial/ Insurance | 5, Transportation | 6, Family/ childcare | 7, Cancelled without reason | 8, Unable to Contact | 0, Unknown | 999, Cancelled for other reason",,,,,,"[emu_admit_yn] = '0'",,,,,,
emu_no_other,emu_admission,,text,"If cancelled for other reason, please describe",,"'Other' reason for EMU cancellation",,,,,"[emu_admit_no] = '999'",,,,,,
emu_date,emu_admission,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <table style=""border-collapse: collapse; width: 78.2486%; height: 145.057px;"" border=""1""> <tbody> <tr style=""height: 24.1761px;""> <td style=""width: 55.2929%;"">Date of:</td> <td style=""width: 44.8125%;""> </td> </tr> <tr style=""height: 24.1761px;""> <td style=""width: 55.2929%;"">Scheduled Admission</td> <td style=""width: 44.8125%;""> {emu_date_scheduled} </td> </tr> <tr style=""height: 24.1761px;""> <td style=""width: 55.2929%;""> <p>Actual Admission </p> </td> <td style=""width: 44.8125%;""> {emu_date_admit}</td> </tr> <tr style=""height: 24.1761px;""> <td style=""width: 55.2929%;""> <p>Discharge Date</p> </td> <td style=""width: 44.8125%;""> <p> {emu_date_dc}</p> </td> </tr> <tr style=""height: 24.1761px;""> <td style=""width: 55.2929%;""> <p>Duration of Hospital Stay</p> </td> <td style=""width: 44.8125%;""> {emu_duration} days</td> </tr> </tbody> </table> <p> </p> </div></div>",,,,,,,,,,,,,
emupre_suicide,emu_admission,,radio,"Is there a concern for active suicidal ideation?","1, Yes {emupre_suicide_concern} | 0, No | 999, Unknown",,,,,,,y,,,,,
emupre_suicide_concern,emu_admission,,notes,"What steps have been taken to address suicide concerns?",,,,,,,"[emupre_suicide] = '1'",,,,,," @PLACEHOLDER=""What steps have been taken to address suicide concerns?"""
emu_admission_cpt,emu_admission,,text,"CPT Code for Admission",,,,,,,,,,,,,
emu_time,emu_admission,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 60%; height: 107.625px;"" border=""1""> <tbody> <tr style=""height: 35.4375px;""> <td style=""width: 45.0158%; height: 35.4375px;"">Time of: </td> <td style=""width: 54.9842%; height: 35.4375px;""> </td> </tr> <tr style=""height: 18.1875px;""> <td style=""width: 45.0158%; height: 18.1875px;""> <p>Admission</p> </td> <td style=""width: 54.9842%; height: 18.1875px;"">{emu_time_roomed}</td> </tr> <tr style=""height: 18px;""> <td style=""width: 45.0158%; height: 18px;"">Connected to EEG</td> <td style=""width: 54.9842%; height: 18px;"">{emu_time_eeg}</td> </tr> </tbody> </table> <p>Time from Admission to getting connected to EEG: {emu_delay_eeg} hour(s)</p> <p>Reason for Delay {emu_delay_eeg_reason} </p> <p> </p> <p> </p></div>",,,,,,,,,,,,,
emu_date_scheduled,emu_admission,,text,"Scheduled Admission Date",," Date only",date_mdy,,,y,,y,,,,,
emu_date_admit,emu_admission,,text,"Actual Admission Date",," Date only",date_mdy,,,y,"[emu_admit_yn] = '1'",,,,,,
emu_delay_admission,emu_admission,,radio,"Reason for Delay (Schedule Date to Actual Date)","1, Patient Related | 2, Hospital Related | 999, Other {emu_delay_other}","Multiple selections are allowed",,,,,"[emu_date_admit] > [emu_date_scheduled]",,,,,,
emu_delay_other,emu_admission,,text,"If other reason for EMU admission delay, please describe",,,,,,,,,,,,,
emu_delay_pt,emu_admission,,dropdown,"Reason for Delay - Patient ","1, COVID or other illness | 2, Transportation | 3, Family/ childcare | 4, Work schedule | 5, Insurance complication | 6, Reschedule by patient's facility | 0, No reason given for reschedule | 999, Rescheduled for other reason",,,,,,"[emu_delay_admission] = '1'",,,,,,
emu_pt_other,emu_admission,,text,"If other patient reason for EMU admission delay, please describe",,,,,,,"[emu_delay_pt] = '999'",,,,,,
emu_delay_hosp,emu_admission,,dropdown,"Reason for Delay - Hospital","1, Bed unavailable | 0, Unknown | 999, Other",,,,,,"[emu_delay_admission] = '2'",,,,,,
emu_hosp_other,emu_admission,,text,"If other hospital-related reason for EMU admission delay, please describe",,,,,,,"[emu_delay_hosp] = '999'",,,,,,
one_memorial,emu_admission,,yesno,"Was patient admitted to 1 Memorial or Surgical Obs?",,,,,,,"[emu_admit_yn] = '1'",,,,,,
emu_probs,emu_admission,,yesno,"Were there non-scheduling issues that arose during EMU Admission?",,"Select no if no reported problems",,,,,"[emu_date_admit] > 0",,,,,,
emu_complications,emu_admission,,checkbox,"What were non-scheduling issues that arose during Admission?","1, Incomplete Evaluation - No events captured | 2, Behavioral complication | 3, Patient left AMA/ early | 4, Admission to incorrect unit | 5, Scalp irritation | 99, Other {emu_comp_other}","Multiple selections are allowed",,,,,"[emu_probs] = 1",,,,,,
emu_comp_other,emu_admission,,text,"If other complications during EMU admission, please describe",,,,,,,,,,,,,
emu_day_admitted,emu_admission,,radio,"Day of week that patient was admitted","1, Monday | 2, Tuesday | 3, Wednesday | 4, Thursday | 5, Friday | 6, Saturday | 7, Sunday",,,,,,,y,LH,,,,
emu_admit_attending,emu_admission,,dropdown,"EMU Attending on admission","1, Dr. Angela Wabulya | 2, Dr. Atif Sheikh | 3, Dr. Brandon Waters | 4, Dr. Lynn Liu | 5, Dr. Albert Hinn | 6, Dr. Brad Vaughn | 7, Dr. Haewon Shin | 8, Dr. Suzette LaRoche | 9, Dr. Geetika Bajpai | 999, Other","Choose only 1",,,,,"[emu_date_admit] <> 0",,,,,,
emu_attend_other,emu_admission,,text,"If other, who was EMU attending on admission?",,"Please type name",,,,,"[emu_admit_attending] = '999'",,,,,,
emu_time_roomed,emu_admission,,text,"Time Patient Admitted",,,datetime_mdy,,,y,,,,,,,
emu_time_eeg,emu_admission,,text,"Time of EEG Connection",,,datetime_mdy,,,y,,,,,,,
emu_delay_eeg,emu_admission,,calc,"Time from Rooming to EEG hookup","datediff([emu_time_roomed], [emu_time_eeg], ""h"", true)","in hours",,,,,,,,,,,
emu_delay_eeg_reason,emu_admission,,text,"Reason for delay from getting admitted to getting hooked up to EEG",,,,,,,"[emu_delay_eeg] >= 1",,,,,," @PLACEHOLDER=""Reason for delay"""
emu_date_dc,emu_admission,,text,"EMU discharge date",,,date_mdy,,,y,"[emu_admit_yn] = '1'",y,,,,,
emu_duration,emu_admission,,calc,"EMU duration","datediff([emu_date_admit], [emu_date_dc], ""d"", true)",,,,,,,,,,,,
emu_asm_number,emu_admission,"Anti-Seizure Medications (ASMs) on Admission
",dropdown,"Number of Anti-Seizure Medications (ASMs) on Admission","0, None | 1, One | 2, Two | 3, Three | 4, Four | 5, Five or more","Do NOT Include Rescue Medications",,,,,,y,,,,,
emu_asm_type,emu_admission,,checkbox,"Which ASM(s) was patient taking on admission?","1, levetiracetam | 2, lamotrigine | 3, carbamazepine | 4, oxcarbazepine | 5, eslicarbazepine | 6, brivaracetam | 7, topiramate | 8, zonisamide | 9, clobazam | 10, clonazepam | 11, diazepam | 12, lorazepam | 13, valproic acid | 14, gabapentin | 15, lacosamide | 16, pregabalin | 17, phenytoin | 18, phenobarbital | 19, cannabidiol | 20, cenobamate | 21, ethosuximide | 22, rufinamide | 23, felbamate | 24, perampanel | 25, acetazolamide | 26, primidone | 27, stiripentol | 28, vigabatrin | 29, fenfluramine | 99, Other {asm_type_other}","Select all that apply",,,,,"[emu_asm_number] > 0",,LH,,,,
asm_type_other,emu_admission,,text,"If other, what additional ASM(s) was patient taking on EMU admission?",,"Please include medications not checked above",,,,,,,LH,,,," @PLACEHOLDER"
emu_asm_dose,emu_admission,,dropdown,"Were ASMs at therapeutic levels?","1, Yes | 2, Some but not all | 3, No | 99, N/A","Select N/A if not taking ASMs",,,,,"[emu_asm_number] > 0",,,,,,
emu_asm_sfx,emu_admission,,dropdown,"Was patient experiencing side effects from ASMs","1, yes - dose limiting | 2, yes - not dose limiting | 3, no | 99, unclear",,,,,,"[emu_asm_number] > 0",,,,,,
asm_sfx_desc,emu_admission,,radio,"What were ASM side effects?","1, dizzy or lightheaded | 2, diplopia | 3, nausea or vomiting | 4, fatigue or sleepiness | 5, cognitive 'fogginess' | 6, depression or irritability | 7, insomnia | 8, abdominal pain or diarrhea | 9, neuropathy or body 'tingling' | 0, Multiple side effects | 999, other","Select only one",,,,,"[emu_asm_sfx] = 1 or [emu_asm_sfx] = 2",,,,,,
emu_asm_sfx_other,emu_admission,,notes,"If multiple or unlisted side effects, please describe symptoms",,,,,,,"[asm_sfx_desc] = '0' or [asm_sfx_desc] = '999'",,,,,,
emu_asm_rescue_yn,emu_admission,,yesno,"Was patient prescribed rescue medication prior to admission?",,"Include extra doses of scheduled ASM",,,,,,y,,,,,
emu_rescue_timing,emu_admission,,dropdown,"When was last time used rescue ASM?","1, Today | 2, Within last week | 3, Within last month | 4, Within last 6 months | 5, Within last year | 6, More than year ago | 7, Never",,,,,,"[emu_asm_rescue_yn] = 1",,,,,,
emu_rescue_type,emu_admission,,dropdown,"Type of ASM 
(Include additional doses of scheduled ASMs)","1, Intranasal midazolam | 2, Intranasal diazepam | 3, Rectal diazepam | 4, Clonazepam - ODT or tablet | 5, Lorazepam | 6, Clobazam | 0, Multiple | 99, Other","Check all that apply",,,,,"[emu_asm_rescue_yn] = 1",,,,,,
emu_rescue_other,emu_admission,,text,"If multiple or other, please list rescue ASM(s)",,,,,,,"[emu_rescue_type] = '99' or [emu_rescue_type] = '0'",,,,,,
emu_asmdc_number,emu_admission,"Anti-Seizure Medications (ASMs) on Discharge
",dropdown,"Number of Anti-Seizure Medications (ASMs) on Discharge","0, None | 1, One | 2, Two | 3, Three | 4, Four | 5, Five or more","Do NOT Include Rescue Medications",,,,,,y,,,,,
emu_asmdc_type,emu_admission,,checkbox,"Which ASM(s) was patient taking on discharge?","1, levetiracetam | 2, lamotrigine | 3, carbamazepine | 4, oxcarbazepine | 5, eslicarbazepine | 6, brivaracetam | 7, topiramate | 8, zonisamide | 9, clobazam | 10, clonazepam | 11, diazepam | 12, lorazepam | 13, valproic acid | 14, gabapentin | 15, lacosamide | 16, pregabalin | 17, phenytoin | 18, phenobarbital | 19, cannabidiol | 20, cenobamate | 21, ethosuximide | 22, rufinamide | 23, felbamate | 24, perampanel | 25, acetazolamide | 26, primidone | 27, stiripentol | 28, vigabatrin | 29, fenfluramine | 99, Other {asmdc_type_other}","Select all that apply",,,,,"[emu_asmdc_number] > 0",,LH,,,,
asmdc_type_other,emu_admission,,text,"If other, what additional ASM(s) was patient taking on EMU discharge?",,"Please include medications not checked above",,,,,,,LH,,,," @PLACEHOLDER"
emudc_asm_rescue,emu_admission,,dropdown,"Was patient prescribed rescue medication upon discharge?","1, Yes | 2, No | 3, Continuation of pre-admission rescue ASM | 0, Other/ Unknown","Include extra doses of scheduled ASM",,,,,,y,,,,,
emudc_rescue_other,emu_admission,,text,"If other or unknown, please describe",,,,,,,"[emudc_asm_rescue] = '0'",,,,,,
emudc_rescue_type,emu_admission,,dropdown,"Type of ASM 
(Include additional doses of scheduled ASMs)","1, Intranasal midazolam | 2, Intranasal diazepam | 3, Rectal diazepam | 4, Clonazepam - ODT or tablet | 5, Lorazepam | 6, Clobazam | 0, Multiple | 99, Other","Check all that apply",,,,,"[emudc_asm_rescue] = '1' or [emudc_asm_rescue] = '3'",,,,,,
emudc_rescue_other2,emu_admission,,text,"If multiple or other, please list rescue ASM(s)",,,,,,,"[emudc_rescue_type] = '99' or [emudc_rescue_type] = '0'",,,,,,
emu_sz_type,emu_admission,"Seizure Types on Admission",dropdown,"Please select most frequent seizure type","1, Primary generalized tonic-clonic | 2, Focal motor with retained awareness | 3, Focal non-motor with retained awareness (includes primary sensory/ autonomic) | 4, Focal motor with impaired awareness | 5, Focal non-motor with impaired awareness | 6, Events with retained awareness - NOS | 7, Staring spells +/- Behavioral arrest - NOS | 8, Hypermotor - NOS | 9, Myoclonus / Brief jerks | 10, Convulsions NOS | 99, Other","Select only 1",,,,,,y,,,,,
emu_sz_type_other,emu_admission,,notes,"If Other, please describe",,"Briefly Describe Seizure Semiology",,,,,"[emu_sz_type] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type1_freq,emu_admission,,dropdown,"Frequency of Primary Seizure Type","1, Multiple times per day | 2, Daily | 3, Multiple times per week | 4, Weekly | 5, Multiple times per month | 6, Monthly | 7, Multiple times per year | 8, Yearly or less frequent | 9, Random clusters | 99, Other",,,,,,,,,,,,
emu_sz1_freq_other,emu_admission,,text,"If Other, please describe",,"Please describe frequency",,,,,"[emu_sz_type1_freq] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type1_timing,emu_admission,,dropdown,"Timing of Last Seizure - Most Common Seizure Type","1, Today | 2, Yesterday | 3, Within past week | 4, Within past 2 weeks | 5, Within past month | 6, Within past 3 months | 7, Within past 6 months | 8, Within past year | 9, More than a year ago | 99, Other","Choose only 1",,,,,,,,,,,
emu_sz1_timing_other,emu_admission,,text,"If Other, please describe",,"Please describe timing of last seizure/ event",,,,,"[emu_sz_type1_timing] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type2_yn,emu_admission,,yesno,"Does patient have other seizure/ event types?",,,,,,,,,,,,,
emu_sz_type2,emu_admission,,dropdown,"Please select SECOND most frequent seizure type","1, Primary generalized tonic-clonic | 2, Focal motor with retained awareness | 3, Focal non-motor with retained awareness (includes primary sensory/ autonomic) | 4, Focal motor with impaired awareness | 5, Focal non-motor with impaired awareness | 6, Events with retained awareness - NOS | 7, Staring spells +/- Behavioral arrest - NOS | 8, Hypermotor - NOS | 9, Myoclonus / Brief jerks | 10, Convulsions NOS | 99, Other","Select only 1",,,,,"[emu_sz_type2_yn] = '1'",y,,,,,
emu_sz_type2_other,emu_admission,,notes,"If Other, please describe",,"Briefly Describe ""Other"" Seizure Semiology",,,,,"[emu_sz_type2] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type2_freq,emu_admission,,dropdown,"Frequency of Secondary Seizure Type","1, Multiple times per day | 2, Daily | 3, Multiple times per week | 4, Weekly | 5, Multiple times per month | 6, Monthly | 7, Multiple times per year | 8, Yearly or less frequent | 9, Random clusters | 99, Other",,,,,,"[emu_sz_type2_yn] = '1'",,,,,,
emu_sz2_freq_other,emu_admission,,text,"If Other, please describe",,"Please describe frequency",,,,,"[emu_sz_type2_freq] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type2_timing,emu_admission,,dropdown,"Timing of Last Seizure - SECOND Most Common Seizure Type","1, Today | 2, Yesterday | 3, Within past week | 4, Within past 2 weeks | 5, Within past month | 6, Within past 3 months | 7, Within past 6 months | 8, Within past year | 9, More than a year ago | 99, Other","Choose only 1",,,,,"[emu_sz_type2_yn] = '1'",,,,,,
emu_sz2_timing_other,emu_admission,,text,"If Other, please describe",,"Please describe timing of last seizure/ event",,,,,"[emu_sz_type2_timing] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type3_yn,emu_admission,,yesno,"Does patient have other seizure/ event types?",,,,,,,"[emu_sz_type2_yn] = '1'",,,,,,
emu_sz_type3,emu_admission,,dropdown,"Please select THIRD most common seizure type","1, Primary generalized tonic-clonic | 2, Focal motor with retained awareness | 3, Focal non-motor with retained awareness (includes primary sensory/ autonomic) | 4, Focal motor with impaired awareness | 5, Focal non-motor with impaired awareness | 6, Events with retained awareness - NOS | 7, Staring spells +/- Behavioral arrest - NOS | 8, Hypermotor - NOS | 9, Myoclonus / Brief jerks | 10, Convulsions NOS | 99, Other","Select only 1",,,,,"[emu_sz_type3_yn] = '1'",y,,,,,
emu_sz_type3_other,emu_admission,,notes,"If Other, please describe",,"Briefly Describe Seizure Semiology",,,,,"[emu_sz_type3] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type3_freq,emu_admission,,dropdown,"Frequency of THIRD Seizure Type","1, Multiple times per day | 2, Daily | 3, Multiple times per week | 4, Weekly | 5, Multiple times per month | 6, Monthly | 7, Multiple times per year | 8, Yearly or less frequent | 9, Random clusters | 99, Other",,,,,,"[emu_sz_type3_yn] = '1'",,,,,,
emu_sz3_freq_other,emu_admission,,text,"If Other, please describe",,"Please describe frequency",,,,,"[emu_sz_type3_freq] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type3_timing,emu_admission,,dropdown,"Timing of Last Seizure - Most Common Seizure Type","1, Today | 2, Yesterday | 3, Within past week | 4, Within past 2 weeks | 5, Within past month | 6, Within past 3 months | 7, Within past 6 months | 8, Within past year | 9, More than a year ago | 99, Other","Choose only 1",,,,,"[emu_sz_type3_yn] = '1'",,,,,,
emu_sz3_timing_other,emu_admission,,text,"If Other, please describe",,"Please describe timing of last seizure/ event",,,,,"[emu_sz_type3_timing] = '99'",,,,,," @PLACEHOLDER"
emu_sz_type4_yn,emu_admission,,yesno,"Does patient have other seizure/ event types?",,,,,,,"[emu_sz_type3_yn] = '1'",,,,,,
emu_sz_type4_describe,emu_admission,,notes,"Please describe all other seizure types",,"Including semiology, frequency, and timing of last seizure",,,,,"[emu_sz_type4_yn] = '1'",,,,,," @PLACEHOLDER"
emu_dcevents,emu_admission,"Summary of EMU Admission",radio,"Events Captured","1, All events captured | 2, Not all events captured | 0, No events captured",,,,,,"[emu_date_dc] > ""0""",,,,,,
emu_dcevents_type,emu_admission,,radio,"Discharge Diagnosis","1, Epilepsy | 2, FND | 3, Mixed FND and Epilepsy | 4, Physiologic Non-epileptic Events | 5, Inconclusive study | 6, Other {emu_dcevents_other}","Please comment specific epilepsy diagnosis if known",,,,,"[emu_date_dc] <> 0",,,,,,
emu_dcevents_other,emu_admission,,text,"Other - Discharge Diagnosis",,,,,,,"[emu_dcevents_type] = '6'",,,,,," @PLACEHOLDER = ""PLEASE SPECIFY"""
emu_epilepsytype,emu_admission,,dropdown,"Epilepsy Type","1, Focal - Single focus | 2, Focal - Two foci | 3, Multifocal (3+ foci) | 4, Generalized - idiopathic | 5, Generalized - symptomatic | 6, Unlocalizable",,,,,,"[emu_dcevents_type] = '1' or [emu_dcevents_type] = '3'",,,,,,
emu_epilepsy_intract,emu_admission,,dropdown,"Is the patient's epilepsy medically refractory?","1, Yes | 2, No | 3, Unclear",,,,,,"[emu_dcevents_type] = '1' or [emu_dcevents_type] = '3'",,,,,,
emu_dcsztype,emu_admission,,checkbox,"Seizure Types","1, Focal aware | 2, Focal impaired awareness | 3, Focal to bilateral tonic clonic | 4, Generalized tonic clonic | 5, Generalized other motor | 6, Generalized non-motor | 999, Other/ Unknown",,,,,,"[emu_dcevents_type] = '1' or [emu_dcevents_type] = '3'",,,,,,
emu_dcsztype_other,emu_admission,,text,"If other/ unknown, please describe",,,,,,,"[emu_dcsztype(999)] = '1'",,,,,,
emu_sxcandidate,emu_admission,,radio,"Surgery Candidate","1, Yes, and surgery was discussed | 2, Yes, but patient not amenable | 3, Yes, but have not discussed | 4, Not currently but possible in future {emu_sxcandidate_reason} | 5, No | 999, Unknown","Is patient a surgery candidate?",,,,,"[emu_date_dc] > ""0""",,,,,,
emu_sxcandidate_reason,emu_admission,,notes,"Reason for not being a current surgical candidate",,,,,,,"[emu_sxcandidate] = '4'",y,,,,," @PLACEHOLDER = ""Why?"""
emu_followup,emu_admission,,radio,"Post-Discharge Follow Up","1, UNC Epilepsy | 2, UNC FND Clinic | 3, UNC Neurology | 4, UNC Non-Neurology | 5, External Neurology | 6, External Non-Neurology | 7, Other {emu_followup_other} | 999, Unknown",,,,,,"[emu_date_dc] > ""0""",,,,,,
emu_followup_other,emu_admission,,text,"Follow up Other",,,,,,,"[emu_followup] = '6'",y,,,,," @PLACEHOLDER= ""Please Specify"""
emu_video,emu_admission,,yesno,"Was video consent obtained for teaching?",,,,,,,"[emu_admit_yn] = '1'",,,,,,
p1_ii_or_ictal,phase_i_interictal_ictal,"Phase 1 Findings",radio,"Phase 1 Finding Type","1, Interictal | 2, Ictal","Can repeat this instance",,,,,,,,,,,
p1_ii_type,phase_i_interictal_ictal,,radio,"Interictal type","1, Spike/Sharp +/- wave | 2, Slowing",,,,,,"[p1_ii_or_ictal] = '1'",,,,,," @NONEOFTHEABOVE = ""999"""
p1_ii_slow,phase_i_interictal_ictal,,radio,"Slowing (continuous, intermittent)","0, Continuous | 1, Intermittent",,,,,,"[p1_ii_type] = '2'",,,,,,
p1_ii_rhythmic,phase_i_interictal_ictal,,radio,"Slowing (non-rhythmic, rhythmic)","0, non-rhythmic | 1, rhythmic",,,,,,"[p1_ii_type] = '2'",,,,,,
